Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1619029,2017-01-01,2017-01-01,,Jackie,https://www.imdb.com/title/tt1619029/,movie,6.7,100,2016,"Biography, Drama, History",67928,2016-09-07,Pablo Larraín,,
2,tt4276820,2017-01-02,2017-01-02,,The Founder,https://www.imdb.com/title/tt4276820/,movie,7.2,115,2016,"Biography, Drama, History",104070,2016-11-24,John Lee Hancock,,
3,tt0101507,2017-01-06,2017-01-06,,Boyz n the Hood,https://www.imdb.com/title/tt0101507/,movie,7.7,112,1991,"Crime, Drama",115532,1991-05-13,John Singleton,,
4,tt0275277,2017-01-08,2017-01-08,,Cowboy Bebop: Tengoku no tobira,https://www.imdb.com/title/tt0275277/,movie,7.9,115,2001,"Animation, Action, Crime, Drama, Sci-Fi, Thriller",40195,2001-09-01,"Shin'ichirô Watanabe, Hiroyuki Okiura, Yoshiyuki Takei, Tensai Okamura",,
5,tt5111874,2017-01-10,2017-01-10,,My Scientology Movie,https://www.imdb.com/title/tt5111874/,movie,6.7,99,2015,Documentary,11202,2015-10-14,John Dower,,
6,tt0119250,2017-01-13,2017-01-13,,Hana-bi,https://www.imdb.com/title/tt0119250/,movie,7.8,103,1997,"Crime, Drama, Romance, Thriller",25523,1997-09-03,Takeshi Kitano,,
7,tt3748528,2017-01-16,2017-01-16,,Rogue One,https://www.imdb.com/title/tt3748528/,movie,7.8,133,2016,"Action, Adventure, Sci-Fi",497266,2016-12-10,Gareth Edwards,,
8,tt0030241,2017-01-18,2017-01-18,,Holiday,https://www.imdb.com/title/tt0030241/,movie,7.8,95,1938,"Comedy, Romance",13188,1938-05-24,George Cukor,,
9,tt0068699,2017-01-21,2017-01-21,,High Plains Drifter,https://www.imdb.com/title/tt0068699/,movie,7.5,105,1973,"Drama, Mystery, Western",46479,1973-04-06,Clint Eastwood,,
10,tt0051036,2017-01-26,2017-01-26,,Sweet Smell of Success,https://www.imdb.com/title/tt0051036/,movie,8.1,96,1957,"Drama, Film-Noir",25277,1957-06-27,Alexander Mackendrick,,
11,tt4936176,2017-01-29,2017-01-29,,Mascots,https://www.imdb.com/title/tt4936176/,movie,5.7,89,2016,Comedy,6267,2016-09-10,Christopher Guest,,
12,tt0058997,2017-02-04,2017-02-04,,Bunny Lake Is Missing,https://www.imdb.com/title/tt0058997/,movie,7.3,107,1965,"Mystery, Thriller",7049,1965-10-03,Otto Preminger,,
13,tt3783958,2017-02-05,2017-02-05,,La La Land,https://www.imdb.com/title/tt3783958/,movie,8.0,128,2016,"Comedy, Drama, Music, Musical, Romance",455474,2016-08-31,Damien Chazelle,,
14,tt0100802,2017-02-11,2017-02-11,,Total Recall,https://www.imdb.com/title/tt0100802/,movie,7.5,113,1990,"Action, Sci-Fi, Thriller",284306,1990-05-31,Paul Verhoeven,,
15,tt0104036,2017-02-15,2017-02-15,,The Crying Game,https://www.imdb.com/title/tt0104036/,movie,7.2,112,1992,"Crime, Drama, Romance, Thriller",48294,1992-09-02,Neil Jordan,,
